"Id","SalePrice"
1461,120686.846284452
1462,156030.441930965
1463,184920.873646849
1464,193364.959113185
1465,184831.581645567
1466,175242.380072408
1467,176865.773454277
1468,166993.391152973
1469,189533.539273087
1470,123711.501971347
1471,188273.478501549
1472,92677.7071489195
1473,95988.8047682206
1474,147760.184949763
1475,121642.292864273
1476,385202.354955325
1477,257738.616858467
1478,309411.724767948
1479,297889.615904542
1480,474756.786082414
1481,334843.299254709
1482,210050.785623623
1483,177615.285807291
1484,165277.99482139
1485,180887.144887718
1486,191840.012629076
1487,333301.191260336
1488,226159.982028562
1489,200704.580912974
1490,221077.799231511
1491,194494.376857635
1492,90493.9714575878
1493,172893.136315116
1494,299451.055268291
1495,298517.591176415
1496,241071.577772557
1497,183601.948876395
1498,172348.255551352
1499,160195.541320914
1500,157744.518679871
1501,178616.141115494
1502,151803.269371702
1503,290922.282235264
1504,236184.421350289
1505,227096.895980947
1506,187055.391008692
1507,232129.421579257
1508,194092.65990594
1509,159649.840790129
1510,150434.603743666
1511,155428.787310336
1512,167129.104256607
1513,145238.816736059
1514,159690.356749445
1515,193222.868387326
1516,157495.320520548
1517,161768.534850783
1518,130319.631216693
1519,216064.732610868
1520,135066.348592218
1521,137183.799274775
1522,163529.573124936
1523,115694.43022962
1524,123040.51188627
1525,121236.371410311
1526,115354.17722023
1527,103474.305424838
1528,130158.294867055
1529,150919.910255542
1530,179930.9687311
1531,113504.260493295
1532,96460.9044150312
1533,142193.813946031
1534,117045.871864578
1535,142740.174827514
1536,109708.309305462
1537,64517.6716480714
1538,146583.055717477
1539,207635.657082052
1540,97294.6809588435
1541,147114.958357639
1542,142212.450106151
1543,196190.47043401
1544,79272.4969953644
1545,104256.036782214
1546,131687.760037166
1547,136066.046249177
1548,132173.128315615
1549,118101.318287021
1550,138842.532724084
1551,108710.575397123
1552,133487.604925706
1553,134541.142313589
1554,112196.886256761
1555,163016.897320504
1556,88529.5708373894
1557,111912.951282712
1558,94221.0310176352
1559,72110.5376070613
1560,140520.589572522
1561,126950.942828379
1562,127975.06761194
1563,119153.043163735
1564,155612.196932842
1565,150390.865363737
1566,237501.318486539
1567,73916.7502770181
1568,229570.3966817
1569,135625.482841999
1570,129653.914804783
1571,123283.942997518
1572,142032.304692693
1573,223653.959358269
1574,111190.772824817
1575,221450.974329149
1576,225695.73734593
1577,190493.580292773
1578,149399.995593329
1579,150042.007010124
1580,193500.540646741
1581,148170.086091926
1582,126336.648315624
1583,315735.671680466
1584,225680.196808066
1585,138036.617253907
1586,73494.6983399972
1587,103987.836596068
1588,147026.104854982
1589,88131.6599157388
1590,128536.379844954
1591,98201.9911974937
1592,119203.1573091
1593,122258.042180585
1594,132663.158329573
1595,112866.349569448
1596,232717.349364514
1597,184087.937616334
1598,210418.890611708
1599,167280.52925127
1600,164927.391892186
1601,68084.0114301483
1602,106877.511533412
1603,78198.1453507932
1604,266985.159382452
1605,241315.418455023
1606,171262.699488941
1607,168296.473728388
1608,212424.871601761
1609,185012.352070619
1610,156964.62820175
1611,142010.510123305
1612,172057.174386577
1613,160856.662190433
1614,116672.321077352
1615,85997.5764255786
1616,77266.2474525518
1617,87902.8257148254
1618,130937.549659633
1619,136386.17646521
1620,153905.28224727
1621,133084.89804384
1622,142910.518056496
1623,264907.001194539
1624,208469.121902466
1625,122672.38492384
1626,173178.404174733
1627,189608.695799925
1628,281406.152869558
1629,181447.250243973
1630,365756.404897218
1631,234542.766029371
1632,254014.353546106
1633,170875.326707146
1634,186547.197395574
1635,178546.950384709
1636,159684.248168938
1637,184579.611637187
1638,198467.144309284
1639,183173.562997659
1640,250368.025030424
1641,178607.4900094
1642,246563.477529655
1643,232528.91795062
1644,237825.382687872
1645,184898.793116289
